doi,title,journal,year,url,status,info
10.1111/1462-2920.15766,Subcellular architecture and metabolic connection in the planktonic photosymbiosis between Collodaria (radiolarians) and their microalgae,Environmental Microbiology,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.15766,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1462-2920.15766
10.1093/molbev/mst150,Molecular Evidence for β-tubulin Neofunctionalization in Retaria (Foraminifera and Radiolarians),Molecular Biology and Evolution,2013,https://academic.oup.com/mbe/article-pdf/30/11/2487/13174469/mst150.pdf,FAILED,403 Client Error: Forbidden for url: https://academic.oup.com/mbe/article-pdf/30/11/2487/13174469/mst150.pdf
10.2973/odp.proc.sr.127128.125.1992,Radiolarians from the Sea of Japan: Leg 128,Unknown,1992,https://doi.org/10.2973/odp.proc.sr.127128.125.1992,FAILED,not pdf content-type: application/json
10.1111/j.1475-4983.2008.00803.x,THE MIDDLE ORDOVICIAN<i>PROVENTOCITUM PROCERULUM</i>RADIOLARIAN ASSEMBLAGE OF SPITSBERGEN AND ITS BIOSTRATIGRAPHIC CORRELATION,Palaeontology,2008,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1475-4983.2008.00803.x,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1475-4983.2008.00803.x
10.5194/cp-11-1599-2015,Expansion and diversification of high-latitude radiolarian assemblages in the late Eocene linked to a cooling event in the southwest Pacific,Climate of the past,2015,https://www.clim-past.net/11/1599/2015/cp-11-1599-2015.pdf,OK,2.76MB
10.3354/meps101033,Large virus-like particles from vacuoles of phaeodarian radiolarians and from other marine samples,Marine Ecology Progress Series,1993,https://doi.org/10.3354/meps101033,FAILED,not pdf content-type: application/json
10.1016/j.geobios.2008.09.002,Lower Darriwilian radiolarians from the Argentine Precordillera,Geobios,2008,http://hdl.handle.net/11336/55883,FAILED,"HTTPSConnectionPool(host='ri.conicet.gov.ar', port=443): Max retries exceeded with url: /handle/11336/55883 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='ri.conicet.gov.ar', port=443): Read timed out. (read timeout=60)""))"
10.4454/ofioliti.v29i2.208,RADIOLARIAN ASSEMBLAGES FROM THE JURASSIC CHERTS OF ALBANIA: NEW DATA,Ofioliti,2004,https://www.ofioliti.it/index.php/ofioliti/article/view/208/0,FAILED,not pdf content-type: text/html; charset=utf-8
10.13130/2039-4942/5486,"LATE TRIASSIC (LATE NORIAN-RHAETIAN) RADIOLARIANS FROM THE ANTALYA NAPPES, CENTRAL TAURIDES, SOUTHERN TURKEY",Riviste UNIMI (Università degli studi di Milano),2015,https://riviste.unimi.it/index.php/RIPS/article/view/5486,FAILED,not pdf content-type: text/html; charset=utf-8
10.1080/09853111.2013.859345,Middle-Late Triassic radiolarian cherts from the Arkotdağ mélange in northern Turkey: implications for the life span of the northern Neotethyan branch,Geodinamica Acta,2012,https://hdl.handle.net/11511/32300,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/32300 (Caused by ResponseError('too many 500 error responses'))"
10.2973/odp.proc.sr.113.200.1990,Oligocene to Middle Miocene Radiolarian Stratigraphy of Southern High Latitudes from Leg 113|Sites 689 and 690|Maud Rise,Unknown,1990,https://doi.org/10.2973/odp.proc.sr.113.200.1990,FAILED,not pdf content-type: application/json
10.2973/odp.proc.sr.159.037.1998,Mid-Cretaceous radiolarians from the eastern equatorial Atlantic and their paleoceanography,Unknown,1998,https://doi.org/10.2973/odp.proc.sr.159.037.1998,FAILED,not pdf content-type: application/json
10.1080/00288306.2004.9515057,"The Cenomanian/Turonian boundary in Sakhalin, Far East Russia: Ammonites, inoceramids, foraminifera, and radiolarians",New Zealand Journal of Geology and Geophysics,2004,https://www.tandfonline.com/doi/pdf/10.1080/00288306.2004.9515057?needAccess=true,FAILED,403 Client Error: Forbidden for url: https://www.tandfonline.com/doi/pdf/10.1080/00288306.2004.9515057?needAccess=true
10.13130/2039-4942/6012,"EARLY LADINIAN RADIOLARIAN FAUNA FROM THE MONTE SAN GIORGIO (SOUTHERN ALPS, SWITZERLAND): SYSTEMATICS, BIOSTRATIGRAPHY AND PALEO(BIO)GEOGRAPHIC IMPLICATIONS",Riviste UNIMI (Università degli studi di Milano),2015,https://riviste.unimi.it/index.php/RIPS/article/view/6012,FAILED,not pdf content-type: text/html; charset=utf-8
10.3140/bull.geosci.1342,SHRIMP U-Pb age of the radiolarian-bearing Yoshiki Formation in Japan,Bulletin of Geosciences,2013,http://www.geology.cz/bulletin/fulltext/1342_Manchuk.pdf,OK,4.21MB
10.5575/geosoc.111.249,"Early Carboniferous radiolarians discovered from the Hayachine Terrane, Northeast Japan: the oldest fossil age for clastic rocks of accretionary complex in Japan",The Journal of the Geological Society of Japan,2005,https://www.jstage.jst.go.jp/article/geosoc/111/4/111_4_249/_pdf,OK,1.82MB
10.1360/n972016-00703,"Discovery of Early Permian radiolarian fauna in the Solon Obo ophiolite belt, Inner Mongolia and its geological significance",Chinese Science Bulletin (Chinese Version),2017,http://engine.scichina.com/doi/pdf/a2202192868943edb2f1f763499e23a9,OK,0.87MB
10.1144/jmpaleo2014-008,A diverse Upper Darriwilian radiolarian assemblage from the Shundy Formation of Kazakhstan: insights into late Middle Ordovician radiolarian biodiversity,Journal of Micropalaeontology,2014,https://jm.copernicus.org/articles/33/149/2014/jm-33-149-2014.pdf,OK,2.44MB
10.2204/iodp.proc.346.202.2018,"Data report: Pleistocene radiolarian biostratigraphy, IODP Expedition 346 Site U1427",Proceedings of the Integrated Ocean Drilling Program. Expedition reports/Proceedings of the Integrated Ocean Drilling Program,2018,http://publications.iodp.org/proceedings/346/ERR/CHAPTERS/346_202.PDF,FAILED,"[Errno 2] No such file or directory: '放射虫论文_OA_download\\Itaki_2018 - Proceedings of the Integrated Ocean Drilling Program. Expedition reports_Proceedings of the Integrated Ocean Drilling Program - Data report_ Pleistocene radiolarian biostratigraphy, IODP Expedi.pdf'"
10.9795/bullgsj.70.43,Conodont-based age calibration of the Middle Triassic Anisian radiolarian biozones in pelagic deep-sea bedded chert,BULLETIN OF THE GEOLOGICAL SURVEY OF JAPAN,2019,https://www.jstage.jst.go.jp/article/bullgsj/70/1-2/70_43/_pdf,OK,64.85MB
10.3800/pbr.12.95,Optics-based surveys of large unicellular zooplankton: a case study on radiolarians and phaeodarians,Plankton and Benthos Research,2017,https://www.jstage.jst.go.jp/article/pbr/12/2/12_P120203/_pdf,OK,0.95MB
10.5575/geosoc.110.620,"Silurian and Devonian radiolarian biostratigraphy of the Hida Gaien belt, central Japan",The Journal of the Geological Society of Japan,2004,https://www.jstage.jst.go.jp/article/geosoc/110/10/110_10_620/_pdf,OK,2.27MB
10.1002/gj.2743,"Palaeoenvironmental implications of geochemistry and radiolarians from Upper Devonian chert/shale sequences of the Truong Son fold belt, Laos",Geological Journal,2015,https://figshare.com/articles/journal_contribution/Palaeoenvironmental_implications_of_geochemistry_and_radiolarians_from_Upper_Devonian_chert_shale_sequences_of_the_Truong_Son_fold_belt_Laos/22942667,FAILED,403 Client Error: Forbidden for url: https://figshare.com/articles/journal_contribution/Palaeoenvironmental_implications_of_geochemistry_and_radiolarians_from_Upper_Devonian_chert_shale_sequences_of_the_Truong_Son_fold_belt_Laos/22942667
10.1186/s40645-018-0204-7,Paleoceanographic history of the Japan Sea over the last 9.5 million years inferred from radiolarian assemblages (IODP Expedition 346 Sites U1425 and U1430),Progress in Earth and Planetary Science,2018,https://doi.org/10.1186/s40645-018-0204-7,FAILED,not pdf content-type: application/json
10.11646/zootaxa.3999.3.1,"An evaluated list of Cenozic-Recent radiolarian species names (Polycystinea), based on those used in the DSDP, ODP and IODP deep-sea drilling programs",Zootaxa,2015,https://www.biotaxa.org/Zootaxa/article/download/zootaxa.3999.3.1/56473,OK,0.42MB
10.1007/s00015-006-0606-1,"Upper Permian to Middle Jurassic radiolarian assemblages of Busuanga and surrounding islands, Palawan, Philippines",Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0606-1,OK,2.96MB
10.1002/mmng.201000017,Trajectories of Late Permian - Jurassic radiolarian extinction rates: no evidence for an end-Triassic mass extinction,Fossil Record,2011,https://doi.org/10.1002/mmng.201000017,FAILED,not pdf content-type: application/json
10.3389/fmars.2017.00330,Distribution of Polycystine Radiolarians in Bottom Surface Sediments and Its Relation to Summer Sea Temperature in the High-Latitude North Atlantic,Frontiers in Marine Science,2017,https://www.frontiersin.org/articles/10.3389/fmars.2017.00330/pdf,OK,9.47MB
10.1016/j.gsf.2016.09.006,Middle Jurassic–early Cretaceous radiolarian assemblages of the western Yarlung Zangbo Suture Zone: Implications for the evolution of the Neo-Tethys,Geoscience Frontiers,2016,https://doi.org/10.1016/j.gsf.2016.09.006,FAILED,not pdf content-type: application/json
10.2973/odp.proc.sr.151.103.1996,Paleoceanography and Biostratigraphy of Paleogene Radiolarians from the Norwegian-Greenland Sea,Unknown,1996,https://doi.org/10.2973/odp.proc.sr.151.103.1996,FAILED,not pdf content-type: application/json
10.1007/s00015-006-0601-6,Influence of the Frasnian-Famennian event on radiolarian faunas,Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0601-6,OK,0.82MB
10.1144/jm.22.2.147,"Late Triassic (Early to Middle Norian) radiolarians from the Antalya Nappes, Antalya, SW Turkey",Journal of Micropalaeontology,2003,https://jm.copernicus.org/articles/22/147/2003/jm-22-147-2003.pdf,OK,0.72MB
10.2973/odp.proc.sr.122.165.1992,"Radiolarians from Leg 122, Exmouth and Wombat Plateaus, Indian Ocean",Unknown,1992,https://doi.org/10.2973/odp.proc.sr.122.165.1992,FAILED,not pdf content-type: application/json
10.2973/odp.proc.sr.115.156.1990,"Radiolarian Biostratigraphy in the Central Indian Ocean, Leg 115",Unknown,1990,https://doi.org/10.2973/odp.proc.sr.115.156.1990,FAILED,not pdf content-type: application/json
10.5109/1543665,"Radiolarian Assemblage-zones in the Jurassic and Cretaceous Sequence in the Kanto Mountains, Central Japan",Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences,1995,https://catalog.lib.kyushu-u.ac.jp/opac_download_md/1543665/29_01_p049.pdf,FAILED,"[Errno 2] No such file or directory: '放射虫论文_OA_download\\Takahashi_1995 - Memoirs of the Faculty of Science Kyushu University Series D Earth and planetary sciences - Radiolarian Assemblage-zones in the Jurassic and Cretaceous Sequence in the Kanto Mountains, Central.pdf'"
10.13130/2039-4942/6270,"HETTANGIAN AMMONITES AND RADIOLARIANS IN THE MT. CAMICIA (GRAN SASSO, CENTRAL APENNINES)",Riviste UNIMI (Università degli studi di Milano),2015,https://riviste.unimi.it/index.php/RIPS/article/view/6270,FAILED,not pdf content-type: text/html; charset=utf-8
10.1016/j.revmic.2015.01.001,Revised radiolarian zonation of the Upper Cretaceous Izumi inter-arc basin (SW Japan),Revue de Micropaléontologie,2015,https://tokushima-u.repo.nii.ac.jp/records/2005620,FAILED,not pdf content-type: text/html; charset=utf-8
10.3389/fmars.2022.829676,Ecoregionalisation of the Southern Ocean Using Radiolarians,Frontiers in Marine Science,2022,https://doi.org/10.3389/fmars.2022.829676,FAILED,not pdf content-type: application/json
10.1029/2012gc004198,Sediment mixing in the tropical Pacific and radiolarian stratigraphy,Geochemistry Geophysics Geosystems,2012,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2012GC004198,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2012GC004198
10.3140/bull.geosci.2008.04.371,Late Devonian radiolarians from the Rudny Altai (SW Siberia),Bulletin of Geosciences,2008,http://www.geology.cz/bulletin/fulltext/bullgeosci200804371.pdf,OK,1.05MB
10.1007/s00015-006-0610-5,"Middle to Upper Permian radiolarian faunas from chert blocks in Pai area, northwestern Thailand",Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0610-5,OK,1.12MB
10.5252/geodiversitas2021v43a15,A new integrated morpho- and molecular systematic classification of Cenozoic radiolarians (Class Polycystinea) – suprageneric taxonomy and logical nomenclatorial acts,Geodiversitas,2021,http://hdl.handle.net/10498/35276,FAILED,"HTTPSConnectionPool(host='rodin.uca.es', port=443): Max retries exceeded with url: /handle/10498/35276 (Caused by ReadTimeoutError(""HTTPSConnectionPool(host='rodin.uca.es', port=443): Read timed out. (read timeout=60)""))"
10.3389/fmars.2019.00284,Transcriptome of Thalassicolla nucleata Holobiont Reveals Details of a Radiolarian Symbiotic Relationship,Frontiers in Marine Science,2019,https://doi.org/10.3389/fmars.2019.00284,FAILED,not pdf content-type: application/json
10.1029/97pa00986,Radiolarian assemblages from Santa Barbara Basin sediments: Recent interdecadal variability,Paleoceanography,1997,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/97PA00986,FAILED,403 Client Error: Forbidden for url: https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/97PA00986
10.2973/odp.proc.sr.125.174.1992,Neogene and Quaternary Radiolarians from Leg.125,Unknown,1992,https://doi.org/10.2973/odp.proc.sr.125.174.1992,FAILED,not pdf content-type: application/json
10.1111/j.0031-0239.2004.00370.x,Early Carboniferous radiolarians from north‐west Thailand: palaeogeographical implications,Palaeontology,2004,https://resolver.sub.uni-goettingen.de/purl?gro-2/48771,FAILED,403 Client Error: Forbidden for url: https://publications.goettingen-research-online.de/_ray?/handle/2/48771
10.2973/odp.proc.sr.123.127.1992,"Lower Cretaceous Radiolarian Biostratigraphy and Biogeography off Northwestern Australia (ODP Sites 765 and 766 and DSDP Site 261), Argo Abyssal Plain and Lower Exmouth Plateau",Unknown,1992,https://doi.org/10.2973/odp.proc.sr.123.127.1992,FAILED,not pdf content-type: application/json
10.1016/s0277-3791(96)00079-0,Monsoon fluctuations over the past 350 kyr: High-resolution evidence from northeast asia/northwest Pacific climate proxies (marine pollen and radiolarians),Quaternary Science Reviews,1997,https://doi.org/10.1016/s0277-3791(96)00079-0,FAILED,not pdf content-type: application/json
10.1017/s001675681400017x,"Conodonts, radiolarians and ostracodes in the Permian E-Lert Formation, Loei Fold Belt, Indochina Terrane, Thailand",Geological Magazine,2014,https://figshare.com/articles/journal_contribution/Conodonts_radiolarians_and_ostracodes_in_the_Permian_E-Lert_Formation_Loei_Fold_Belt_Indochina_Terrane_Thailand/22924253,FAILED,403 Client Error: Forbidden for url: https://figshare.com/articles/journal_contribution/Conodonts_radiolarians_and_ostracodes_in_the_Permian_E-Lert_Formation_Loei_Fold_Belt_Indochina_Terrane_Thailand/22924253
10.2973/odp.proc.sr.112.182.1990,Radiolarian Biostratigraphy from Leg 112 on the Peru Margin,Unknown,1990,https://doi.org/10.2973/odp.proc.sr.112.182.1990,FAILED,not pdf content-type: application/json
10.1134/s086959380903006x,"Late Middle Jurassic (Late Bathonian-early Callovian) radiolarian cherts from the Neotethyan Bornova flysch zone, Spil Mountains, Western Turkey",Stratigraphy and Geological Correlation,2009,https://hdl.handle.net/11511/30780,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/30780 (Caused by ResponseError('too many 500 error responses'))"
10.1144/jmpaleo2014-026,New species of Neogene radiolarians from the Southern Ocean – part IV,Journal of Micropalaeontology,2015,https://www.j-micropalaeontol.net/35/26/2016/jm-35-26-2016.pdf,OK,9.60MB
10.5194/fr-14-95-2011,Trajectories of Late Permian &amp;ndash; Jurassic radiolarian extinction rates: no evidence for an end-Triassic mass extinction,Fossil record,2011,https://fr.copernicus.org/articles/14/95/2011/fr-14-95-2011.pdf,OK,0.32MB
10.4454/ofioliti.v36.i1.1,EARLY JURASSIC TO EARLY LATE CRETACEOUS RADIOLARIANS FROM THE SANTA ROSA ACCRETIONARY COMPLEX (NORTHWESTERN COSTA RICA),UWA Profiles and Research Repository (UWA),2011,https://www.ofioliti.it/index.php/ofioliti/article/view/392/385,FAILED,not pdf content-type: text/html; charset=utf-8
10.1017/s0016756817000425,"Silurian radiolarians from the Sepon Mine, Truong Son Terrane, central Laos and their palaeogeographic and tectonic significance",Geological Magazine,2017,https://figshare.com/articles/journal_contribution/Silurian_radiolarians_from_the_Sepon_Mine_Truong_Son_Terrane_central_Laos_and_their_palaeogeographic_and_tectonic_significance/22969607,FAILED,403 Client Error: Forbidden for url: https://figshare.com/articles/journal_contribution/Silurian_radiolarians_from_the_Sepon_Mine_Truong_Son_Terrane_central_Laos_and_their_palaeogeographic_and_tectonic_significance/22969607
10.1016/j.tecto.2007.11.036,Peri-equatorial paleolatitudes for Jurassic radiolarian cherts of Greece,Tectonophysics,2007,http://hdl.handle.net/2158/343365,FAILED,403 Client Error: Forbidden for url: https://flore.unifi.it/handle/2158/343365
10.2517/prpsj.12.397,"Discovery of Middle Triassic radiolarian fauna from the Nan area along the Nan-Uttaradit suture zone, northern Thailand",Paleontological Research,2008,http://hdl.handle.net/2241/105188,FAILED,not pdf content-type: text/html; charset=utf-8
10.1016/j.crte.2005.03.013,First direct age determination from the Jurassic radiolarian-bearing siliceous series (Jédidi Formation) of northwestern Tunisia,Comptes Rendus Géoscience,2005,https://hal.science/hal-03275269,FAILED,not pdf content-type: text/html; charset=utf-8
10.4072/rbp.2009.3.03,"Maastrichtian-Early Danian radiolarians and ostracodes from ODP Site 1001B, Caribbean Sea",Revista Brasileira de Paleontologia,2009,https://doi.org/10.4072/rbp.2009.3.03,FAILED,not pdf content-type: application/json
10.2517/prpsj.4.227,Replacement names for Permian stauraxon radiolarians,Paleontological Research,2000,https://doi.org/10.2517/prpsj.4.227,FAILED,not pdf content-type: application/json
10.3390/w12123502,The Horizontal Distribution of Siliceous Planktonic Radiolarian Community in the Eastern Indian Ocean,Water,2020,https://www.mdpi.com/2073-4441/12/12/3502/pdf?version=1608192213,FAILED,403 Client Error: Forbidden for url: https://www.mdpi.com/2073-4441/12/12/3502/pdf?version=1608192213
10.2973/odp.proc.sr.145.108.1995,"A High-Resolution Stratigraphy for Pleistocene Sediments from North Pacific Sites 881, 883, and 887 Based on Abundance Variations of the Radiolarian Cycladophora davisiana",Unknown,1995,https://doi.org/10.2973/odp.proc.sr.145.108.1995,FAILED,not pdf content-type: application/json
10.5194/jm-41-1-2022,"Astronomical calibration of late middle Eocene radiolarian bioevents from ODP Site 1260 (equatorial Atlantic, Leg 207) and refinement of the global tropical radiolarian biozonation",Journal of Micropalaeontology,2022,https://jm.copernicus.org/articles/41/1/2022/jm-41-1-2022.pdf,OK,11.45MB
10.5467/jkess.2007.28.4.497,"Late Tremadocian Radiolarian Faunas and Biostratigraphy of the Cow Head Group, Western Newfoundland, Canada",Journal of the Korean earth science society,2007,http://koreascience.or.kr:80/article/JAKO200709905786170.pdf,FAILED,"HTTPConnectionPool(host='127.0.0.1', port=7890): Max retries exceeded with url: http://koreascience.or.kr:80/article/JAKO200709905786170.pdf (Caused by ReadTimeoutError(""HTTPConnectionPool(host='127.0.0.1', port=7890): Read timed out. (read timeout=60)""))"
10.2973/odp.proc.sr.113.132.1990,"Middle Miocene to Recent Radiolarians from the Weddell Sea, Antarctica, ODP Leg 113",Unknown,1990,https://doi.org/10.2973/odp.proc.sr.113.132.1990,FAILED,not pdf content-type: application/json
10.1144/jmpaleo2013-012,"Middle to Late Pleistocene radiolarian biostratigraphy in the water-mixed region of the Kuroshio and Oyashio currents, northeastern margin of Japan (JAMSTEC Hole 902-C9001C)",Journal of Micropalaeontology,2014,https://jm.copernicus.org/articles/33/205/2014/jm-33-205-2014.pdf,OK,2.42MB
10.5575/geosoc.109.722,"Late Jurassic radiolarians from the Rikuchu-Seki district in the North Kitakami Belt, Northeast Japan",The Journal of the Geological Society of Japan,2003,https://www.jstage.jst.go.jp/article/geosoc1893/109/12/109_12_722/_pdf,OK,1.15MB
10.2113/gssgfbull.183.4.307,Radiolarian assemblages of Middle and Late Jurassic to early Late Cretaceous (Cenomanian) ages from an olistolith record pelagic deposition within the Bornova Flysch Zone in western Turkey,Bulletin de la Société Géologique de France,2012,https://hdl.handle.net/11511/32387,FAILED,"HTTPSConnectionPool(host='hdl.handle.net', port=443): Max retries exceeded with url: /11511/32387 (Caused by ResponseError('too many 500 error responses'))"
10.2204/iodp.proc.320321.204.2012,"Data report: radiolarian stratigraphy across the Eocene/Oligocene boundary in the equatorial Pacific, Sites 1218, U1333, and U13334",Proceedings of the Integrated Ocean Drilling Program. Expedition reports/Proceedings of the Integrated Ocean Drilling Program,2012,http://publications.iodp.org/proceedings/320_321/ERR/CHAPTERS/2021_204.PDF,FAILED,[Errno 2] No such file or directory: '放射虫论文_OA_download\\Moore_2012 - Proceedings of the Integrated Ocean Drilling Program. Expedition reports_Proceedings of the Integrated Ocean Drilling Program - Data report_ radiolarian stratigraphy across the Eocene_Oligocene.pdf'
10.1007/s00015-005-1146-9,"Palaeozoic (Silurian and Devonian) radiolarians and conodonts from chert olistoliths of the Volissos Turbidites, Chios island, Greece",Eclogae Geologicae Helvetiae,2005,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-005-1146-9,OK,0.87MB
10.1144/jmpaleo2011-025,New species of Neogene radiolarians from the Southern Ocean – part II,Journal of Micropalaeontology,2013,https://jm.copernicus.org/articles/32/59/2013/jm-32-59-2013.pdf,OK,11.44MB
10.22179/revmacn.11.268,"Early Cretaceous Radiolarians from southernmost Patagonia, Argentina",Revista del Museo Argentino de Ciencias Naturales,2009,http://revista.macn.gob.ar/ojs/index.php/RevMus/article/download/268/252,OK,2.26MB
10.5575/geosoc.96.323,Discovery of Paleogene radiolarians from the Hidaka Supergroup and its significance with special reference to ridge subduction.,The Journal of the Geological Society of Japan,1990,https://www.jstage.jst.go.jp/article/geosoc1893/96/4/96_4_323/_pdf,OK,0.65MB
10.18999/joueps.39.1,"Preliminary report on Pliocene radiolarians from the Nobori Formation, Tonohama Group, Shikoku, Southwest Japan",Institutional Repositories DataBase (IRDB),1992,https://nagoya.repo.nii.ac.jp/records/1400,FAILED,not pdf content-type: text/html; charset=utf-8
10.3166/ga.20.131-138,Alpine ocean seafloor spreading and onset of pelagic sedimentation: new radiolarian data from the Chenaillet-Montgenèvre ophiolite (French-Italian Alps),Geodinamica Acta,2007,https://www.tandfonline.com/doi/pdf/10.3166/ga.20.131-138?needAccess=true&role=button,FAILED,403 Client Error: Forbidden for url: https://www.tandfonline.com/doi/pdf/10.3166/ga.20.131-138?needAccess=true&role=button
10.18814/epiiugs/1991/v14i3/003,Radiolarians and terranes: Mesozoic geology of Japan,Episodes,1991,http://www.episodes.org/journal/download_pdf.php?doi=10.18814/epiiugs/1991/v14i3/003,FAILED,not pdf content-type: application/download
10.2478/v10096-009-0004-5,Early Senonian radiolarian microfauna and biostratigraphy from the Western Vardar Zone (Western Serbia),Geologica Carpathica,2009,https://doi.org/10.2478/v10096-009-0004-5,FAILED,not pdf content-type: application/json
10.2478/agp-2013-0009,"Foraminiferal and radiolarian biostratigraphy of the youngest (Late Albian through Late Cenomanian) sediments of the Tatra massif, Central Western Carpathians",Acta Geologica Polonica,2013,http://journals.pan.pl/Content/81907/PDF/04_bak.pdf,OK,1.53MB
10.7773/cm.v20i4.980,Biostratigraphy and paleoceanographic significance of the radiolarians from the protomouth of the Gulf of California,Ciencias Marinas,1994,https://cienciasmarinas.com.mx/index.php/cmarinas/article/download/980/901,OK,1.71MB
10.1017/jpa.2019.88,"Micro-CT study of Middle Ordovician Spumellaria (radiolarians) from western Newfoundland, Canada",Journal of Paleontology,2020,https://doi.org/10.1017/jpa.2019.88,FAILED,not pdf content-type: application/json
10.1017/s001675682000028x,"Middle Ordovician (Darriwilian) radiolarians from the Crawford Group, Scotland",Geological Magazine,2020,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/116F9DC667283B5935C10900BAD9C858/S001675682000028Xa.pdf/div-class-title-middle-ordovician-darriwilian-radiolarians-from-the-crawford-group-scotland-div.pdf,OK,1.32MB
10.5575/geosoc.104.171,Neogene diatom and radiolarian biochronology for the middle-to-high latitudes of the Northwest Pacific region: Calibration to the Cande and Kent's geomagnetic polarity time scales (CK92 and CK95).,The Journal of the Geological Society of Japan,1998,https://www.jstage.jst.go.jp/article/geosoc1893/104/3/104_3_171/_pdf,OK,1.74MB
10.7186/bgsm65201805,Radiolarian biostratigraphy of Malaysi,Bulletin of the Geological Society of Malaysia,2018,http://www.gsm.org.my/products/702001-101740-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-101740-PDF.pdf
10.5575/geosoc.108.11_701,"Geology and radiolarian ages of the Shimanto Supergroup, western Shikoku, Southwest Japan.",The Journal of the Geological Society of Japan,2002,https://www.jstage.jst.go.jp/article/geosoc1893/108/11/108_11_701/_pdf,OK,2.99MB
10.1007/s00015-006-0607-0,Radiolarian correlation of Jurassic siliceous successions of the Rosso Ammonitico Formation in the Southern Alps and Western Sicily (Italy),Eclogae Geologicae Helvetiae,2006,https://sjg.springeropen.com/counter/pdf/10.1007/s00015-006-0607-0,OK,1.12MB
10.2343/geochemj.40.33,Biogeochemical signatures preserved in ancient siliceous sediments; new perspectives to Triassic radiolarian bedded chert compositions,GEOCHEMICAL JOURNAL,2006,https://www.jstage.jst.go.jp/article/geochemj/40/1/40_1_33/_pdf,OK,0.24MB
10.1016/j.marmicro.2023.102268,Convolutional neural network application on a new middle Eocene radiolarian dataset,Marine Micropaleontology,2023,https://hal.science/hal-04207164/document,FAILED,not pdf content-type: text/html; charset=utf-8
10.7186/bgsm46200322,"Some radiolarians from Dengkil, Selangor",Bulletin of the Geological Society of Malaysia,2003,http://www.gsm.org.my/products/702001-100670-PDF.pdf,FAILED,404 Client Error: Not Found for url: http://gsm.org.my/products/702001-100670-PDF.pdf
10.5575/geosoc.109.489,"Permian radiolarians from the Kosado area of Sado Island, central Japan",The Journal of the Geological Society of Japan,2003,https://www.jstage.jst.go.jp/article/geosoc1893/109/8/109_8_489/_pdf,OK,1.14MB
10.5575/geosoc.97.549,"Mesozoic radiolarians from the Khabarovsk complex, eastern USSR :their significance in relation to the Mino terrane, central Japan",The Journal of the Geological Society of Japan,1991,https://www.jstage.jst.go.jp/article/geosoc1893/97/7/97_7_549/_pdf,OK,1.10MB
10.9795/bullgsj.55.287,"Permian radiolarians from chert of the Chichibu Belt in the Toyohashi district,Aichi Prefecture, Southwest Japan.",BULLETIN OF THE GEOLOGICAL SURVEY OF JAPAN,2004,https://www.jstage.jst.go.jp/article/bullgsj/55/9-10/55_287/_pdf,OK,1.65MB
10.2973/odp.proc.sr.136.201.1993,"Quaternary, Eocene, and Cretaceous Radiolarians from the Hawaiian Arch, Northern Equatorial Pacific Ocean",Unknown,1993,https://doi.org/10.2973/odp.proc.sr.136.201.1993,FAILED,not pdf content-type: application/json
10.2298/gabp0869039d,Late Triassic radiolarians from the Ovcar-Kablar gorge (SW Serbia),Geoloski anali Balkanskog poluostrva,2008,http://www.doiserbia.nb.rs/ft.aspx?id=0350-06080869039D,FAILED,"HTTPSConnectionPool(host='www.doiserbia.nb.rs', port=443): Max retries exceeded with url: /ft.aspx?id=0350-06080869039D (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.doiserbia.nb.rs'. (_ssl.c:1017)"")))"
10.5575/geosoc.108.536,Middle Jurassic radiolarian-bearing manganese nodules from the Kuzumaki-Kamaishi Belt in the Northern Kitakami Massif and its significance.,The Journal of the Geological Society of Japan,2002,https://www.jstage.jst.go.jp/article/geosoc1893/108/8/108_8_536/_pdf,OK,0.77MB
